period,year,quarter,zip,city,county,Electric,Hydrogen,PHEV,total
2009-Q3,2009,3,91362,,,1,0,0,1
2009-Q3,2009,3,91401,,,1,0,0,1
2009-Q3,2009,3,91403,,,3,0,0,3
2009-Q3,2009,3,91423,,,2,0,0,2
2009-Q3,2009,3,91436,,,1,0,0,1
2009-Q3,2009,3,91501,,,1,0,0,1
2009-Q3,2009,3,91504,,,1,0,0,1
2009-Q3,2009,3,91601,,,1,0,0,1
2009-Q3,2009,3,91602,,,1,0,0,1
2009-Q3,2009,3,91604,,,1,0,0,1
2009-Q3,2009,3,91740,,,1,0,0,1
2009-Q3,2009,3,91754,,,1,0,0,1
2009-Q3,2009,3,91770,,,1,0,0,1
2009-Q3,2009,3,91789,,,2,0,0,2
2009-Q3,2009,3,91803,,,1,0,0,1
2009-Q3,2009,3,92007,,,1,0,0,1
2009-Q3,2009,3,92008,,,1,0,0,1
2009-Q3,2009,3,92014,,,1,0,0,1
2009-Q3,2009,3,92024,,,3,0,0,3
2009-Q3,2009,3,92054,,,1,0,0,1
2009-Q3,2009,3,92064,,,1,0,0,1
2009-Q3,2009,3,92065,,,1,0,0,1
2009-Q3,2009,3,92067,,,1,0,0,1
2009-Q3,2009,3,92075,,,1,0,0,1
2009-Q3,2009,3,92117,,,1,0,0,1
2009-Q3,2009,3,92126,,,1,0,0,1
2009-Q3,2009,3,92395,,,1,0,0,1
2009-Q3,2009,3,92504,,,1,0,0,1
2009-Q3,2009,3,92509,,,1,0,0,1
2009-Q3,2009,3,92603,,,1,0,0,1
2009-Q3,2009,3,92604,,,1,0,0,1
2009-Q3,2009,3,92612,,,1,0,0,1
2009-Q3,2009,3,92614,,,2,0,0,2
2009-Q3,2009,3,92618,,,1,0,0,1
2009-Q3,2009,3,92629,,,1,0,0,1
2009-Q3,2009,3,92651,,,2,0,0,2
2009-Q3,2009,3,92656,,,1,0,0,1
2009-Q3,2009,3,92657,,,1,0,0,1
2009-Q3,2009,3,92672,,,1,0,0,1
2009-Q3,2009,3,92677,,,2,0,0,2
2009-Q3,2009,3,92679,,,1,0,0,1
2009-Q3,2009,3,92692,,,1,0,0,1
2009-Q3,2009,3,92705,,,1,0,0,1
2009-Q3,2009,3,92782,,,2,0,0,2
2009-Q3,2009,3,92808,,,3,0,0,3
2009-Q3,2009,3,92821,,,5,0,0,5
2009-Q3,2009,3,92833,,,1,0,0,1
2009-Q3,2009,3,92867,,,1,0,0,1
2009-Q3,2009,3,93021,,,1,0,0,1
2009-Q3,2009,3,93033,,,10,0,0,10
2009-Q3,2009,3,93063,,,1,0,0,1
2009-Q3,2009,3,93065,,,1,0,0,1
2009-Q3,2009,3,93101,,,1,0,0,1
2009-Q3,2009,3,93105,,,1,0,0,1
2009-Q3,2009,3,93108,,,1,0,0,1
2009-Q3,2009,3,94010,,,2,0,0,2
2009-Q3,2009,3,94022,,,2,0,0,2
2009-Q3,2009,3,94025,,,2,0,0,2
2009-Q3,2009,3,94027,,,1,0,0,1
2009-Q3,2009,3,94087,,,1,0,0,1
2009-Q3,2009,3,94108,,,1,0,0,1
2009-Q3,2009,3,94109,,,1,0,0,1
2009-Q3,2009,3,94131,,,1,0,0,1
2009-Q3,2009,3,94301,,,1,0,0,1
2009-Q3,2009,3,94303,,,2,0,0,2
2009-Q3,2009,3,94596,,,1,0,0,1
2009-Q3,2009,3,94618,,,1,0,0,1
2009-Q3,2009,3,95014,,,1,0,0,1
2009-Q3,2009,3,95023,,,1,0,0,1
2009-Q3,2009,3,95030,,,1,0,0,1
2009-Q3,2009,3,95032,,,1,0,0,1
2009-Q3,2009,3,95070,,,2,0,0,2
2009-Q3,2009,3,95076,,,1,0,0,1
2009-Q3,2009,3,95112,,,1,0,0,1
2009-Q3,2009,3,95476,,,1,0,0,1
2009-Q3,2009,3,95747,,,1,0,0,1
2009-Q3,2009,3,99999,,,1,0,0,1
2009-Q4,2009,4,90024,,,2,0,0,2
2009-Q4,2009,4,90063,,,16,0,0,16
2009-Q4,2009,4,90069,,,1,0,0,1
2009-Q4,2009,4,90210,,,1,0,0,1
