period,year,quarter,county,chargers,zev_sales
2021-Q4,2021,4,Sutter,27,61
2021-Q4,2021,4,Tehama,35,16
2021-Q4,2021,4,Trinity,6,2
2021-Q4,2021,4,Tulare,123,130
2021-Q4,2021,4,Tuolumne,78,26
2021-Q4,2021,4,Ventura,894,1352
2021-Q4,2021,4,Yolo,394,224
2021-Q4,2021,4,Yuba,32,41
2022-Q1,2022,1,Alameda,5051,4133
2022-Q1,2022,1,Alpine,18,0
2022-Q1,2022,1,Amador,33,21
2022-Q1,2022,1,Butte,132,90
2022-Q1,2022,1,Calaveras,21,34
2022-Q1,2022,1,Colusa,36,2
2022-Q1,2022,1,Contra Costa,1715,2476
2022-Q1,2022,1,Del Norte,32,2
2022-Q1,2022,1,El Dorado,173,234
2022-Q1,2022,1,Fresno,1311,619
2022-Q1,2022,1,Glenn,14,8
2022-Q1,2022,1,Humboldt,145,58
2022-Q1,2022,1,Imperial,35,57
2022-Q1,2022,1,Inyo,41,9
2022-Q1,2022,1,Kern,631,440
2022-Q1,2022,1,Kings,160,50
2022-Q1,2022,1,Lake,14,21
2022-Q1,2022,1,Lassen,13,0
2022-Q1,2022,1,Los Angeles,23903,18066
2022-Q1,2022,1,Madera,147,50
2022-Q1,2022,1,Marin,1037,814
2022-Q1,2022,1,Mariposa,35,4
2022-Q1,2022,1,Mendocino,158,37
2022-Q1,2022,1,Merced,139,115
2022-Q1,2022,1,Modoc,12,0
2022-Q1,2022,1,Mono,37,5
2022-Q1,2022,1,Monterey,383,373
2022-Q1,2022,1,Napa,393,230
2022-Q1,2022,1,Nevada,152,87
2022-Q1,2022,1,Orange,5003,9230
2022-Q1,2022,1,Placer,424,754
2022-Q1,2022,1,Plumas,7,8
2022-Q1,2022,1,Riverside,1441,3272
2022-Q1,2022,1,Sacramento,1765,1670
2022-Q1,2022,1,San Benito,47,98
2022-Q1,2022,1,San Bernardino,1424,2423
2022-Q1,2022,1,San Diego,6551,5734
2022-Q1,2022,1,San Francisco,1519,1671
2022-Q1,2022,1,San Joaquin,565,916
2022-Q1,2022,1,San Luis Obispo,638,310
2022-Q1,2022,1,San Mateo,4688,4092
2022-Q1,2022,1,Santa Barbara,480,470
2022-Q1,2022,1,Santa Clara,16831,6138
2022-Q1,2022,1,Santa Cruz,333,348
2022-Q1,2022,1,Shasta,90,88
2022-Q1,2022,1,Sierra,1,0
2022-Q1,2022,1,Siskiyou,68,7
2022-Q1,2022,1,Solano,501,475
2022-Q1,2022,1,Sonoma,765,637
2022-Q1,2022,1,Stanislaus,149,328
2022-Q1,2022,1,Sutter,24,53
2022-Q1,2022,1,Tehama,66,9
2022-Q1,2022,1,Trinity,14,4
2022-Q1,2022,1,Tulare,154,143
2022-Q1,2022,1,Tuolumne,52,24
2022-Q1,2022,1,Ventura,679,1577
2022-Q1,2022,1,Yolo,299,253
2022-Q1,2022,1,Yuba,41,42
2022-Q2,2022,2,Alameda,5139,4022
2022-Q2,2022,2,Alpine,16,1
2022-Q2,2022,2,Amador,33,18
2022-Q2,2022,2,Butte,158,91
2022-Q2,2022,2,Calaveras,23,40
2022-Q2,2022,2,Colusa,36,11
2022-Q2,2022,2,Contra Costa,1699,2493
2022-Q2,2022,2,Del Norte,32,4
2022-Q2,2022,2,El Dorado,193,315
2022-Q2,2022,2,Fresno,1321,759
2022-Q2,2022,2,Glenn,14,5
2022-Q2,2022,2,Humboldt,148,67
2022-Q2,2022,2,Imperial,43,61
2022-Q2,2022,2,Inyo,49,7
2022-Q2,2022,2,Kern,629,506
2022-Q2,2022,2,Kings,168,66
2022-Q2,2022,2,Lake,15,13
2022-Q2,2022,2,Lassen,16,5
2022-Q2,2022,2,Los Angeles,24615,20465
2022-Q2,2022,2,Madera,152,88
2022-Q2,2022,2,Marin,1052,844
2022-Q2,2022,2,Mariposa,45,8
2022-Q2,2022,2,Mendocino,162,51
2022-Q2,2022,2,Merced,134,146
2022-Q2,2022,2,Modoc,12,0
2022-Q2,2022,2,Mono,37,13
2022-Q2,2022,2,Monterey,400,364
2022-Q2,2022,2,Napa,403,231
2022-Q2,2022,2,Nevada,152,102
2022-Q2,2022,2,Orange,5189,8684
2022-Q2,2022,2,Placer,448,831
2022-Q2,2022,2,Plumas,8,5
2022-Q2,2022,2,Riverside,1493,3282
2022-Q2,2022,2,Sacramento,1839,1869
2022-Q2,2022,2,San Benito,47,99
2022-Q2,2022,2,San Bernardino,1560,2538
2022-Q2,2022,2,San Diego,7074,6275
2022-Q2,2022,2,San Francisco,1575,1695
2022-Q2,2022,2,San Joaquin,596,925
2022-Q2,2022,2,San Luis Obispo,640,382
2022-Q2,2022,2,San Mateo,4799,2911
2022-Q2,2022,2,Santa Barbara,515,470
2022-Q2,2022,2,Santa Clara,16981,6201
2022-Q2,2022,2,Santa Cruz,356,349
2022-Q2,2022,2,Shasta,105,94
2022-Q2,2022,2,Sierra,1,2
2022-Q2,2022,2,Siskiyou,68,15
2022-Q2,2022,2,Solano,509,545
2022-Q2,2022,2,Sonoma,840,626
2022-Q2,2022,2,Stanislaus,158,366
2022-Q2,2022,2,Sutter,24,76
2022-Q2,2022,2,Tehama,80,16
2022-Q2,2022,2,Trinity,14,2
2022-Q2,2022,2,Tulare,160,188
2022-Q2,2022,2,Tuolumne,52,31
2022-Q2,2022,2,Ventura,821,1659
2022-Q2,2022,2,Yolo,428,267
2022-Q2,2022,2,Yuba,60,39
2022-Q3,2022,3,Alameda,4282,4247
2022-Q3,2022,3,Alpine,16,2
2022-Q3,2022,3,Amador,33,30
2022-Q3,2022,3,Butte,139,104
