period,year,quarter,county,fuel_type,sales
2011-Q3,2011,3,San Diego,PHEV,20
2011-Q3,2011,3,San Francisco,Electric,44
2011-Q3,2011,3,San Francisco,PHEV,12
2011-Q3,2011,3,San Joaquin,Electric,5
2011-Q3,2011,3,San Joaquin,PHEV,1
2011-Q3,2011,3,San Luis Obispo,Electric,14
2011-Q3,2011,3,San Luis Obispo,PHEV,1
2011-Q3,2011,3,San Mateo,Electric,109
2011-Q3,2011,3,San Mateo,PHEV,7
2011-Q3,2011,3,Santa Barbara,Electric,19
2011-Q3,2011,3,Santa Barbara,PHEV,8
2011-Q3,2011,3,Santa Clara,Electric,320
2011-Q3,2011,3,Santa Clara,PHEV,29
2011-Q3,2011,3,Santa Cruz,Electric,21
2011-Q3,2011,3,Santa Cruz,PHEV,1
2011-Q3,2011,3,Shasta,Electric,2
2011-Q3,2011,3,Solano,Electric,8
2011-Q3,2011,3,Solano,PHEV,1
2011-Q3,2011,3,Sonoma,Electric,28
2011-Q3,2011,3,Sonoma,PHEV,4
2011-Q3,2011,3,Stanislaus,Electric,6
2011-Q3,2011,3,Stanislaus,PHEV,2
2011-Q3,2011,3,Tehama,Electric,1
2011-Q3,2011,3,Tehama,PHEV,1
2011-Q3,2011,3,Tulare,Electric,2
2011-Q3,2011,3,Tulare,PHEV,2
2011-Q3,2011,3,Tuolumne,PHEV,1
2011-Q3,2011,3,Ventura,Electric,38
2011-Q3,2011,3,Ventura,PHEV,6
2011-Q3,2011,3,Yolo,Electric,7
2011-Q3,2011,3,Yolo,PHEV,1
2011-Q4,2011,4,Alameda,Electric,102
2011-Q4,2011,4,Alameda,PHEV,17
2011-Q4,2011,4,Amador,Electric,1
2011-Q4,2011,4,Butte,Electric,1
2011-Q4,2011,4,Contra Costa,Electric,51
2011-Q4,2011,4,Contra Costa,PHEV,13
2011-Q4,2011,4,Del Norte,PHEV,1
2011-Q4,2011,4,El Dorado,Electric,6
2011-Q4,2011,4,Fresno,Electric,7
2011-Q4,2011,4,Fresno,PHEV,2
2011-Q4,2011,4,Kern,Electric,3
2011-Q4,2011,4,Kern,PHEV,2
2011-Q4,2011,4,Lassen,PHEV,1
2011-Q4,2011,4,Los Angeles,Electric,239
2011-Q4,2011,4,Los Angeles,Hydrogen,1
2011-Q4,2011,4,Los Angeles,PHEV,87
2011-Q4,2011,4,Madera,Electric,3
2011-Q4,2011,4,Marin,Electric,29
2011-Q4,2011,4,Marin,PHEV,6
2011-Q4,2011,4,Mendocino,PHEV,2
2011-Q4,2011,4,Merced,Electric,1
2011-Q4,2011,4,Monterey,Electric,3
2011-Q4,2011,4,Monterey,PHEV,3
2011-Q4,2011,4,Napa,Electric,8
2011-Q4,2011,4,Napa,PHEV,2
2011-Q4,2011,4,Orange,Electric,79
2011-Q4,2011,4,Orange,Hydrogen,1
2011-Q4,2011,4,Orange,PHEV,35
2011-Q4,2011,4,Out Of State,Electric,22
2011-Q4,2011,4,Out Of State,PHEV,14
2011-Q4,2011,4,Placer,Electric,9
2011-Q4,2011,4,Placer,PHEV,4
2011-Q4,2011,4,Riverside,Electric,23
2011-Q4,2011,4,Riverside,PHEV,16
2011-Q4,2011,4,Sacramento,Electric,13
2011-Q4,2011,4,Sacramento,PHEV,9
2011-Q4,2011,4,San Benito,Electric,1
2011-Q4,2011,4,San Bernardino,Electric,9
2011-Q4,2011,4,San Bernardino,PHEV,12
2011-Q4,2011,4,San Diego,Electric,215
2011-Q4,2011,4,San Diego,PHEV,35
2011-Q4,2011,4,San Francisco,Electric,32
2011-Q4,2011,4,San Francisco,PHEV,7
2011-Q4,2011,4,San Joaquin,Electric,5
2011-Q4,2011,4,San Joaquin,PHEV,3
2011-Q4,2011,4,San Luis Obispo,Electric,4
2011-Q4,2011,4,San Luis Obispo,PHEV,1
2011-Q4,2011,4,San Mateo,Electric,67
2011-Q4,2011,4,San Mateo,PHEV,15
2011-Q4,2011,4,Santa Barbara,Electric,13
2011-Q4,2011,4,Santa Barbara,PHEV,6
2011-Q4,2011,4,Santa Clara,Electric,206
2011-Q4,2011,4,Santa Clara,PHEV,32
2011-Q4,2011,4,Santa Cruz,Electric,9
2011-Q4,2011,4,Santa Cruz,PHEV,2
2011-Q4,2011,4,Shasta,Electric,1
2011-Q4,2011,4,Solano,Electric,3
2011-Q4,2011,4,Solano,PHEV,3
2011-Q4,2011,4,Sonoma,Electric,19
2011-Q4,2011,4,Sonoma,PHEV,9
2011-Q4,2011,4,Stanislaus,Electric,1
2011-Q4,2011,4,Stanislaus,PHEV,1
2011-Q4,2011,4,Ventura,Electric,26
2011-Q4,2011,4,Ventura,PHEV,15
2011-Q4,2011,4,Yolo,Electric,6
2012-Q1,2012,1,Alameda,Electric,57
2012-Q1,2012,1,Alameda,PHEV,29
2012-Q1,2012,1,Amador,Electric,1
2012-Q1,2012,1,Contra Costa,Electric,34
2012-Q1,2012,1,Contra Costa,PHEV,34
2012-Q1,2012,1,El Dorado,PHEV,1
2012-Q1,2012,1,Fresno,Electric,5
2012-Q1,2012,1,Fresno,PHEV,1
2012-Q1,2012,1,Humboldt,Electric,1
2012-Q1,2012,1,Imperial,PHEV,1
2012-Q1,2012,1,Kern,Electric,3
2012-Q1,2012,1,Kern,PHEV,4
2012-Q1,2012,1,Los Angeles,Electric,167
2012-Q1,2012,1,Los Angeles,PHEV,227
2012-Q1,2012,1,Madera,PHEV,2
2012-Q1,2012,1,Marin,Electric,13
2012-Q1,2012,1,Marin,PHEV,7
2012-Q1,2012,1,Mendocino,Electric,2
2012-Q1,2012,1,Mendocino,PHEV,1
2012-Q1,2012,1,Merced,Electric,1
2012-Q1,2012,1,Merced,PHEV,1
2012-Q1,2012,1,Monterey,Electric,2
2012-Q1,2012,1,Monterey,PHEV,3
2012-Q1,2012,1,Napa,Electric,3
2012-Q1,2012,1,Napa,PHEV,3
2012-Q1,2012,1,Nevada,Electric,1
2012-Q1,2012,1,Nevada,PHEV,2
2012-Q1,2012,1,Orange,Electric,49
2012-Q1,2012,1,Orange,PHEV,155
2012-Q1,2012,1,Out Of State,Electric,1
2012-Q1,2012,1,Out Of State,PHEV,21
2012-Q1,2012,1,Placer,Electric,3
2012-Q1,2012,1,Placer,PHEV,11
2012-Q1,2012,1,Riverside,Electric,10
2012-Q1,2012,1,Riverside,PHEV,25
2012-Q1,2012,1,Sacramento,Electric,16
2012-Q1,2012,1,Sacramento,PHEV,14
2012-Q1,2012,1,San Bernardino,Electric,11
2012-Q1,2012,1,San Bernardino,PHEV,21
2012-Q1,2012,1,San Diego,Electric,246
2012-Q1,2012,1,San Diego,PHEV,53
2012-Q1,2012,1,San Francisco,Electric,19
2012-Q1,2012,1,San Francisco,PHEV,18
2012-Q1,2012,1,San Joaquin,Electric,5
2012-Q1,2012,1,San Joaquin,PHEV,6
2012-Q1,2012,1,San Luis Obispo,Electric,6
2012-Q1,2012,1,San Luis Obispo,PHEV,4
2012-Q1,2012,1,San Mateo,Electric,33
2012-Q1,2012,1,San Mateo,PHEV,39
2012-Q1,2012,1,Santa Barbara,Electric,9
2012-Q1,2012,1,Santa Barbara,PHEV,10
2012-Q1,2012,1,Santa Clara,Electric,133
2012-Q1,2012,1,Santa Clara,PHEV,71
2012-Q1,2012,1,Santa Cruz,Electric,4
2012-Q1,2012,1,Santa Cruz,PHEV,2
2012-Q1,2012,1,Shasta,Electric,2
2012-Q1,2012,1,Shasta,PHEV,1
2012-Q1,2012,1,Siskiyou,PHEV,1
2012-Q1,2012,1,Solano,Electric,3
2012-Q1,2012,1,Solano,PHEV,6
2012-Q1,2012,1,Sonoma,Electric,9
2012-Q1,2012,1,Sonoma,PHEV,7
2012-Q1,2012,1,Stanislaus,PHEV,2
2012-Q1,2012,1,Sutter,PHEV,1
2012-Q1,2012,1,Tehama,Electric,1
2012-Q1,2012,1,Trinity,Electric,1
2012-Q1,2012,1,Tulare,Electric,3
2012-Q1,2012,1,Tulare,PHEV,2
2012-Q1,2012,1,Ventura,Electric,11
2012-Q1,2012,1,Ventura,PHEV,21
2012-Q1,2012,1,Yolo,Electric,3
2012-Q1,2012,1,Yolo,PHEV,5
2012-Q2,2012,2,Alameda,Electric,35
2012-Q2,2012,2,Alameda,PHEV,222
2012-Q2,2012,2,Amador,PHEV,1
2012-Q2,2012,2,Butte,Electric,1
2012-Q2,2012,2,Butte,PHEV,2
2012-Q2,2012,2,Calaveras,PHEV,1
2012-Q2,2012,2,Contra Costa,Electric,13
2012-Q2,2012,2,Contra Costa,PHEV,127
2012-Q2,2012,2,El Dorado,Electric,2
2012-Q2,2012,2,El Dorado,PHEV,18
2012-Q2,2012,2,Fresno,Electric,1
2012-Q2,2012,2,Fresno,PHEV,7
2012-Q2,2012,2,Humboldt,Electric,1
2012-Q2,2012,2,Humboldt,PHEV,2
2012-Q2,2012,2,Imperial,Electric,1
2012-Q2,2012,2,Imperial,PHEV,2
2012-Q2,2012,2,Inyo,PHEV,1
2012-Q2,2012,2,Kern,PHEV,9
2012-Q2,2012,2,Lake,Electric,1
2012-Q2,2012,2,Lake,PHEV,3
2012-Q2,2012,2,Los Angeles,Electric,90
2012-Q2,2012,2,Los Angeles,PHEV,1052
2012-Q2,2012,2,Marin,Electric,10
2012-Q2,2012,2,Marin,PHEV,52
2012-Q2,2012,2,Mendocino,PHEV,5
